name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w,tau_w_error,sigma_t_ms,tau_w_ms
0030_sub.npz_a,517.368421052632,1376.72197373699,1663.43607300254,2.03529401217425,10.971696496959,56.4023801075513,0.001282123810655,294.494456771157,128.564236551953,-24.4508234024639,5.74371992633608,10.971696496959,1.0649040253869E-07,0.000479381702237,0.002030260062021,0.002030807015055,0.000477059404717,2.92045212621871E-05,3.90529632568359,9.8304E-05,-1663.43607300254,-1.20825853348392,-0.827637440404889,-8.77634378279164E-07,5.74371992633608,24.4508234024639,0.000477059404717,0.002030807015055,0.000564630643639,0.000564782755715,4.69094818086736E-05,0.564630643638542,0.564782755715459
0030_sub.npz_a,517.91052631579,1376.72197373699,396.03147530055,0.11393829956407,7.75400403208861,56.4644157131962,0.001285295964848,294.497126445963,128.613725743808,-24.6410571570778,5.70178838214054,7.75400403208861,1.06214227045301E-07,0.000510991589352,0.002026673845664,0.002036296608316,0.000471185132039,2.85722787824746E-05,3.90529632568359,9.8304E-05,-396.03147530055,-0.287662638394272,-3.47629433416166,-2.08947517277899E-07,5.70178838214054,24.6410571570778,0.000471185132039,0.002036296608316,0.000560508605118,0.000563169915968,4.6539308797931E-05,0.560508605117944,0.563169915968226
0030_sub.npz_a,518.452631578947,1376.72197373699,232.98215353666,0.038662684191395,7.68509191642127,58.6225803118854,0.001288437609553,294.497756146679,128.632813912157,5.65086894089916,24.9703247633673,9.25588824321617,1.0502856970066E-07,0.000568548186262,0.0020079986168,0.000460635270946,0.002035465705848,2.74968187337136E-05,3.90529632568359,9.8304E-05,-232.98215353666,-0.169229632403012,-5.90913060437635,-1.22922155403428E-07,5.65086894089916,24.9703247633673,0.000460635270946,0.002035465705848,0.000555503020366,0.0019887670976,0.000162116173614,0.555503020366151,1.98876709759988
0030_sub.npz_a,518.994736842105,1376.72197373699,162.425453785303,0.018812806832243,7.61410648589027,59.1927362552318,0.001286877472178,294.498810100118,128.628207186341,-25.3400332341623,5.61006040885075,7.61410648589027,1.04479401065969E-07,0.000659286538022,0.002001353392343,0.002057332546402,0.000455474415944,2.67297864390898E-05,3.90529632568359,9.8304E-05,-162.425453785303,-0.117979851330776,-8.4760235643655,-8.56962070638932E-08,5.61006040885075,25.3400332341623,0.000455474415944,0.002057332546402,0.000551491378432,0.000566916802517,4.60273282279858E-05,0.551491378431664,0.566916802517365
0030_sub.npz_a,519.536842105263,1376.72197373699,123.781738972467,0.010909357170826,10.6850172994417,59.5312853087396,0.001291547182854,294.501389751734,128.608390949437,-25.7962214738327,5.52106935293152,10.6850172994417,1.04413410551003E-07,0.000765998737421,0.001990368005454,0.002085449087452,0.000446341776916,2.56443603320641E-05,3.90529632568359,9.8304E-05,-123.781738972467,-0.089910483985719,-11.1221734737724,-6.53076552135397E-08,5.52106935293152,25.7962214738327,0.000446341776916,0.002085449087452,0.000542743201671,0.00056867050088,4.59732334525416E-05,0.54274320167058,0.568670500880441
0030_sub.npz_a,520.078947368421,1376.72197373699,102.176232732845,0.007513226053114,13.7663476864132,60.5097388353146,0.001292068802454,294.502301471494,128.589342427185,26.236100055599,5.44238061730552,13.7663476864132,1.04676368809867E-07,0.000873020254756,0.001987492163031,0.002125531263698,0.000440915554513,2.48353334040155E-05,3.90529632568359,9.8304E-05,-102.176232732845,-0.074217042134874,-13.4739942637798,-5.39085186048269E-08,5.44238061730552,26.236100055599,0.000440915554513,0.002125531263698,0.000535007784204,0.000572165787601,4.63541214019684E-05,0.535007784203602,0.572165787600521
0030_sub.npz_a,520.621052631579,1376.72197373699,85.6627193131611,0.005417465355549,10.561338703415,59.8615192187443,0.001292165138679,294.504021916234,128.568666590872,-26.7811744393579,5.34414445035856,10.561338703415,1.06120845687239E-07,0.001007381469241,0.002003860869536,0.002199464519794,0.000438898293672,2.41375713143769E-05,3.90529632568359,9.8304E-05,-85.6627193131611,-0.06222223582343,-16.0714250583622,-4.51959342629897E-08,5.34414445035856,26.7811744393579,0.000438898293672,0.002199464519794,0.000525350776048,0.000576631639435,4.73569935892399E-05,0.525350776048048,0.576631639434784
0030_sub.npz_a,521.163157894737,1376.72197373699,74.454201712158,0.004140299650179,7.3638379771077,61.1387449081922,0.001292984468988,294.504932226992,128.55530286395,-27.3189472458093,5.23583980406818,7.3638379771077,1.06129859801739E-07,0.001121600710202,0.00198863850599,0.002242315742965,0.000429757475376,2.30958788490172E-05,3.90529632568359,9.8304E-05,-74.454201712158,-0.054080782563569,-18.4908566887794,-3.92822832752295E-08,5.23583980406818,27.3189472458093,0.000429757475376,0.002242315742965,0.000514703996099,0.000580362474342,4.76361395390511E-05,0.514703996099118,0.580362474341699
0030_sub.npz_a,521.705263157895,1376.72197373699,65.4257455468085,0.003236154522856,13.5914677248383,60.5426020713407,0.001294549450513,294.507377527938,128.545747877096,28.0424650600076,5.09938083182506,13.5914677248383,1.06808600634184E-07,0.00125355000058,0.001989695174636,0.002313710696361,0.000420734690586,2.19435932058141E-05,3.90529632568359,9.8304E-05,-65.4257455468085,-0.04752284542188,-21.0425110517391,-3.4518839917172E-08,5.09938083182506,28.0424650600076,0.000420734690586,0.002313710696361,0.000501289533292,0.000582922322496,4.80951721951112E-05,0.50128953329173,0.582922322496296
0030_sub.npz_a,522.247368421053,1376.72197373699,58.3989012749393,0.002595546492418,7.256623789266,63.3613741094369,0.001290328323227,294.508307092089,128.536217300323,4.98213125572146,-28.7785771179943,8.8274201160609,1.05670427260123E-07,0.001367827608103,0.001962092311527,0.000408002964339,0.002356754531983,2.06694560515336E-05,3.90529632568359,9.8304E-05,-58.3989012749393,-0.042418805240989,-23.574449924245,-3.08114536196783E-08,4.98213125572146,28.7785771179943,0.000408002964339,0.002356754531983,0.000489763430962,0.000843855532242,6.91061696847868E-05,0.489763430962442,0.843855532241702
