name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,regstart_a,regend_a,regstart_b,regend_b,background,slope_abs,slope_over_nuobs,slope_over_nuobs_err,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old
M001,555.0,4454.987779892042,-747.0459773491548,0.013036923326034825,-1.5694577218990364,2437.8145222018916,450.68285143124746,0.015290626326297147,9.405960663705114,0.4900690139362397,270.5123792350551,0.001338604895860195,0.0041101340505318535,5.5549640989739856e-06,0.0024665130164226064,4.4672705415255706e-06,0.0024717005108281704,2.336036746524719e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,747.0459773491548,0.1676875480379562,0.00014448704999782844,5.963472015069653,3.764040583788532e-08,0.4900690139362397,270.5123792350551,4.4672705415255706e-06,0.0024717005108281704,5.0183067027070945e-06,5.0183111987549165e-06,0.4900694530034098,-0.490068574868022,4.5744891329372e-08,0.005018306702707094,0.4900694530034098,0.005018311198754916
M001,555.5,4454.987779892042,-773.780684658098,0.014039927955440876,-1.5695039716571944,2414.7118484479224,450.75831941634755,0.015300603631708916,9.405545000505544,0.48986619765566364,270.51500509592745,0.0012923551377021047,0.004128204401174575,5.5096347759295375e-06,0.002476963189457314,4.484300843969393e-06,0.00248217281511022,2.3449219116978434e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,773.780684658098,0.1736886211339617,0.00015486419476746501,5.757429551062675,3.898745175417084e-08,0.48986619765566364,270.51500509592745,4.484300843969393e-06,0.00248217281511022,5.016229863993996e-06,5.01623405299109e-06,0.48986660673741117,-0.48986578857291624,4.59192789888877e-08,0.005016229863993996,0.48986660673741117,0.00501623405299109
M001,556.0,4454.987779892042,-803.4474922919151,0.015165519656679149,-1.569551691030617,2400.1563472888943,450.8411217005477,0.015313740170352808,9.405614655799539,0.4895386964311531,270.4782471793899,0.001244635764279441,0.004138902852970826,5.452197562771039e-06,0.00248258594986326,4.492093013926295e-06,0.002487796930778887,2.3493170164875554e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,803.4474922919151,0.1803478554797259,0.00016677484495782592,5.544839983486339,4.048223348529505e-08,0.4895386964311531,270.4782471793899,4.492093013926295e-06,0.002487796930778887,5.012876251455008e-06,5.012880134213676e-06,0.4895390756068044,-0.48953831725455343,4.599906809148051e-08,0.005012876251455007,0.4895390756068044,0.005012880134213676
M001,556.5,4454.987779892042,-836.2408043130121,0.016365361855658185,-1.5696004995664539,2415.517803232771,450.92266132263654,0.015325040541726592,9.406951605016038,0.48931119551954755,270.47085886390033,0.0011958272284426153,0.00412543730490529,5.364124845231625e-06,0.002473939218884659,4.474565955204406e-06,0.00247912893907175,2.340250147143821e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,836.2408043130121,0.18770888847045875,0.00018054448081976577,5.3273982289729345,4.213454620856614e-08,0.48931119551954755,270.47085886390033,4.474565955204406e-06,0.00247912893907175,5.010546642120167e-06,5.010550224658341e-06,0.48931154537679106,-0.48931084566140914,4.581958814225085e-08,0.005010546642120167,0.48931154537679106,0.005010550224658341
M001,557.0,4454.987779892042,-872.2237694778778,0.017937501119181076,-1.5696498325157406,2374.1598019371563,451.0734762982787,0.015310946353018152,9.40659579290416,0.48883788913429654,270.4414780372479,0.001146494279155971,0.004161349307057076,5.338343016769998e-06,0.002494426530947395,4.5076853411438306e-06,0.0024996519172784636,2.3577922448158402e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,872.2237694778778,0.19578589495008994,0.00019618707751814326,5.1076202412585525,4.3947571715861005e-08,0.48883788913429654,270.4414780372479,4.5076853411438306e-06,0.0024996519172784636,5.005699984735197e-06,5.00570327459525e-06,0.48883821040969233,-0.4888375678580622,4.615872822986061e-08,0.005005699984735197,0.48883821040969233,0.0050057032745952496
M001,557.5,4454.987779892042,-907.2992784413967,0.019409497420687597,-1.5696941550872432,2374.595554204179,451.0953302297813,0.01532613409371349,9.405296749202172,0.4888414215751652,270.4170559831401,0.001102171707653464,0.004161240878900679,5.279509763000284e-06,0.002494070648878026,4.507418393817257e-06,0.002499289014211733,2.357830773182654e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,907.2992784413967,0.20365920699862913,0.0002123061614438926,4.9101634771991,4.57148744420494e-08,0.4888414215751652,270.4170559831401,4.507418393817257e-06,0.002499289014211733,5.005736156929692e-06,5.005739197361569e-06,0.48884171849234065,-0.4888411246571997,4.615599238733963e-08,0.005005736156929692,0.48884171849234065,0.005005739197361568
M001,558.0,4454.987779892042,-950.7417012104511,0.02132100809814064,-1.5697445167922863,2372.4054358443595,451.0965274804784,0.015336237690143792,9.406999805061684,0.48887541851440774,270.4008050931898,0.001051810002610268,0.004162315304651403,5.21665045078577e-06,0.0024944872238427548,4.5088274760864355e-06,0.002499700966337309,2.3587513848486303e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,950.7417012104511,0.2134106193291265,0.00023310719217953702,4.685802436371633,4.7903749656143405e-08,0.48887541851440774,270.4008050931898,4.5088274760864355e-06,0.002499700966337309,5.006084285587536e-06,5.0060870547059995e-06,0.48887568893613276,-0.4888751480919483,4.61704188943054e-08,0.0050060842855875354,0.48887568893613276,0.0050060870547059995
M001,558.5,4454.987779892042,-996.4489320983058,0.024019135780997087,-1.5697927634088824,2252.7896956763716,451.2830517375122,0.015333595324015443,9.405709553077978,0.48861152999543644,270.3657200803371,0.0010035633860141647,0.0042722530818235585,5.288850893465933e-06,0.0025589799160882754,4.623509217437127e-06,0.0025643181072868317,2.419061155317785e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,996.4489320983058,0.22367040749154485,0.00025590053016391883,4.4708641219684,5.0206738725771555e-08,0.48861152999543644,270.3657200803371,4.623509217437127e-06,0.0025643181072868317,5.0033820671532694e-06,5.003384586697879e-06,0.4886117760447147,-0.4886112839454785,4.734475822786374e-08,0.00500338206715327,0.4886117760447147,0.005003384586697879
M001,559.0,4454.987779892042,-1047.4795585951686,0.026288090086359867,-1.5698416545170515,2298.0477778034083,451.2558303584716,0.015339645328686298,9.405468081581432,0.48855861689228824,270.34815353012925,0.0009546722778450662,0.0042312627924784105,5.178871406528906e-06,0.0025344128102686527,4.578928767049195e-06,0.00253969447966493,2.3958935893678276e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1047.4795585951686,0.23512512499429394,0.0002828733567672991,4.25305462367864,5.277795060528577e-08,0.48855861689228824,270.34815353012925,4.578928767049195e-06,0.00253969447966493,5.002840236977032e-06,5.002842516762642e-06,0.48855883952760176,-0.4885583942563491,4.688825194146912e-08,0.0050028402369770315,0.48855883952760176,0.005002842516762642
M001,559.5,4454.987779892042,-1096.150393020584,0.028943781551673063,-1.569884043472328,2274.7303596951665,451.28715964171107,0.015337374680133405,9.409007582756216,0.48868208639056115,270.3451749793896,0.0009122833225685896,0.004253363582869256,5.157018733395243e-06,0.0025474427403222536,4.603687323949193e-06,0.002552750220679741,2.4088769861564652e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1096.150393020584,0.24605014585408067,0.00030986585066034586,4.064212181337406,5.523026279996736e-08,0.48868208639056115,270.3451749793896,4.603687323949193e-06,0.002552750220679741,5.0041045646393465e-06,5.004106646993451e-06,0.4886822897454542,-0.48868188303508836,4.714177781430264e-08,0.005004104564639346,0.4886822897454542,0.0050041066469934505
