,name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,time_res
22,11,554.692157894737,4511.88830173482,-688.488295179652,3.1150163808688,3.38046537833723,11.9058144406916,512.491046357674,512.367670986378,185.595938702881,39.0988083830844,1.78889839819217,0.036540700538679,0.169837210163348,0.556388011354524,0.571648630183644,0.119799823257452,0.000955790360652,1.024E-05
23,12,554.692157894737,4404.97612469556,-669.518613870834,0.477770263974781,3.91112154815701,82.5283467443705,512.498254131521,512.470390580503,140.735687177259,28.159908512982,1.79487583994643,0.043285864567916,0.02182482006197,0.072038227409937,0.073810592917436,0.01476872587426,0.000154604549117,1.024E-05
24,13,554.692157894737,4594.33122479557,-638.064137217793,0.099244373046804,11.2536718525941,927.682559957702,512.49857251875,512.465961635779,143.850454822315,39.9054860625111,1.80552981474556,0.076794356935712,0.004241766086917,0.011606771995598,0.01190839105699,0.003303376210199,3.5183959423956E-05,1.024E-05
25,14,554.692157894737,4475.58898865501,-1346.12210083182,0.250319184410174,4.74847894147348,329.098877641893,512.496634809062,512.308348181026,162.048193557517,11.4373145598773,1.6836682173536,0.068279142439674,0.004460439372276,0.033405165001389,0.033642025871779,0.002372619558787,2.08113650642518E-05,1.024E-05
26,15,554.692157894737,4278.44075262017,-261.562082378644,0.13025355467999,15.1777379324352,520.492848853987,512.483372232413,512.491741573126,46.117952662485,67.9209990979169,-1.04269332718236,0.063317568924929,0.006388718643067,0.007675985463767,0.005610098886656,0.008262158918686,0.000216745853302,1.024E-05
27,16,554.692157894737,4363.17134308007,-692.118034992468,0.047061516097282,149.048433833348,2591.19449731756,512.498584605095,512.485349811885,126.962378774621,45.8797033998023,1.7877902427782,0.063019607021269,0.00127643326776,0.003024900440586,0.003087763138519,0.00111582073835,1.42959749932619E-05,1.024E-05
28,1,555.281315789474,4458.21232566804,-710.341009778581,0.088203815823695,9.84015573172992,1816.41189700977,512.498754801116,512.484554801592,176.014163407021,46.5766773807705,1.78239025314934,0.115111393658195,0.003715631901964,0.010921049159714,0.011175357568349,0.002950345268384,2.54966187169874E-05,1.024E-05
29,2,555.281315789474,4427.43838194467,-556.904803193039,0.368454068242955,3.80966713078034,81.4843837226589,512.493254421564,512.47556428992,180.316092233057,44.0136507499018,1.83822588468343,0.037440156463237,0.029309394385764,0.080064513098322,0.083031877149872,0.020211871598257,0.000168617999158,1.024E-05
30,3,555.281315789474,4489.92447670638,-1319.41696502128,0.571343350824304,4.00205652463859,184.701863832939,512.495354237384,512.412758764708,171.660794012602,19.1022991754594,1.68593281667801,0.057288387423265,0.00848650613737,0.05288669858452,0.053329961336116,0.005922926026178,4.94177727209864E-05,1.024E-05
31,4,555.281315789474,4603.95218063416,-757.439219588137,10.2934289101701,3.31583655544853,4.10740548062806,512.407178656908,512.165202101228,165.227833243235,-26.8363621687079,1.76958796063753,0.04582567673397,0.466407863206833,1.80387038692444,1.84049950715974,0.298847900655926,0.002630921067441,1.024E-05
32,5,555.281315789474,4435.77619565023,-1092.89908880614,18.0966780770206,3.36123611338623,5.49110993424186,512.479899650929,512.320040821254,168.844235732182,37.0999561026163,1.70951714822821,0.038151391793528,0.302394922177178,1.1611729082463,1.17349613187477,0.257490527708285,0.002267642191415,1.024E-05
33,6,555.281315789474,4513.18439311792,-1786.76144653285,0.94980601921807,6.58230175519601,155.782248085676,512.494038933842,512.173978523406,158.922325158817,12.1741940835181,1.65598876468582,0.06442278179794,0.007512376813955,0.065482730137252,0.065754736146413,0.005034514489701,4.50677648187119E-05,1.024E-05
34,7,555.281315789474,4351.04256542009,-669.597576110154,0.3656713554162,6.1764536516681,269.898803774462,512.495951445017,512.472304815957,104.127827225547,38.3012125524228,14.3612209053048,0.053076876608004,0.008638764773291,0.020034904172071,0.020476699185117,0.007531960379809,0.000118303261257,1.024E-05
35,8,555.281315789474,4563.38681317666,-295.17423217021,0.050224589297223,5.67375831701357,245.910966162963,512.494681951703,512.491235435153,175.936888026208,63.1594337013565,2.04790531089648,0.02928834085744,0.011714063526494,0.018930742458105,0.020964001282566,0.007521537397107,6.94103998272993E-05,1.024E-05
36,11,555.281315789474,4511.88830173482,-715.885535761132,3.37487662391913,3.38458190246335,11.9034427394837,512.491708669863,512.517247507574,185.19734534582,39.1788145555236,1.78079939682245,0.036518061058469,0.166834479486072,0.556048251867721,0.570332244562067,0.120146550785714,0.000961159342788,1.024E-05
37,12,555.281315789474,4404.97612469556,-699.248838351099,0.521009317827541,3.91928418451782,82.4960137678246,512.497618004114,512.486551093003,140.419302701764,28.211347846351,1.78564518296308,0.043244611885984,0.021330292641116,0.071980955482078,0.073606025835074,0.014787795034136,0.000155202549716,1.024E-05
38,13,555.281315789474,4594.33122479557,-663.271648612481,0.106350034360987,11.4290926405259,927.821822975408,512.498654377998,512.465088061599,143.566848825818,39.9715131412243,1.79691542086599,0.076153501609907,0.004147451105666,0.011507004444119,0.011783946220285,0.003280727378484,3.503302019815E-05,1.024E-05
39,14,555.281315789474,4475.58898865501,-1455.86968075794,0.292048597319583,4.76895947516439,329.118246852889,512.497029011723,512.293407591098,161.863808369932,11.4329424895879,1.67522382247599,0.068186115963201,0.004214770831169,0.033350112093353,0.033555721555154,0.002368208945814,2.07962740642229E-05,1.024E-05
40,15,555.281315789474,4278.44075262017,-266.991039525564,0.135899098689625,15.347095616902,520.57854854924,512.483558486026,512.489465722985,46.2634198101725,67.6953144975488,-1.05158927722282,0.062944189826705,0.00633090757457,0.007628887260352,0.005593688410222,0.008184800531268,0.000219278347702,1.024E-05
41,16,555.281315789474,4363.17134308007,-723.534258998823,0.050770698127457,153.269232540162,2590.878805675,512.498498194401,512.4860283056,126.730240757233,45.9645645455588,1.77864309370045,0.062150738395249,0.00124799754027,0.002983247145946,0.003039992178533,0.0011026062412,1.41682659825632E-05,1.024E-05
42,1,555.870473684211,4458.21232566804,-742.617998608996,0.09800237719426,9.56706479781552,1816.5491094291,512.498890244792,512.482981642736,175.687589584602,46.6522567450167,1.77344873109398,0.117002862822196,0.003720211527446,0.011098500697258,0.011337034074011,0.003003465178305,2.6017568150975E-05,1.024E-05
