name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,background,regstart_a,regend_a,regstart_b,regend_b,regstart_c,regend_c,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err
B006,555.0,1397.4666443834685,-44.163618930075295,0.0020921653973166717,-1.5481571234443798,34.171057024818346,2268.5339759840813,0.1120215958588925,18.976351491951934,180.03397271743518,1.5075569058727871,-1.5481571234443798,0.20536370197916493,0.0003933624509834676,0.016293793008315245,0.016297972138349222,0.00013647506037720077,1.0721217280822227e-06,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,44.163618930075295,0.031602628304276494,31.64293774466471,2.2614227274253747e-08,1.5075569058727871,180.03397271743518,0.00013647506037720077,0.016297972138349222,0.000123570238186294,0.00012360190967364957,1.5079432980185252,-1.5071705856433077,1.1189347493109858e-05,0.12357023818629399,1.5079432980185252,0.12360190967364958,8.751525667438577e-06
B006,555.5,1397.4666443834685,-46.9841450254506,0.0016496578300948348,-1.5495157641543431,67.62329080087542,2266.227290138241,0.11277117336879268,18.97200327169975,182.38437603958874,1.5177151542427216,-1.5495157641543431,0.14383149549937693,0.00026446833210824793,0.01157276375295563,0.01157538523456372,9.632436826156922e-05,7.469551493593006e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,46.9841450254506,0.03362094201982114,29.743366483022772,2.4058493385116865e-08,1.5177151542427216,182.38437603958874,9.632436826156922e-05,0.01157538523456372,0.00012440288149530502,0.0001244310535502613,1.5180588533131882,-1.5173715091887925,7.897228008724994e-06,0.12440288149530501,1.5180588533131882,0.1244310535502613,9.707347413616488e-06
B006,556.0,1397.4666443834685,-50.7134656158566,0.001797553368441122,-1.5510802531647494,78.01636264946767,2269.1851908416697,0.11375160153835788,18.962649315100347,183.4659776684271,1.516884021914895,-1.5510802531647494,0.13558087307214967,0.0002343368598987349,0.01095965395907852,0.010961789982749841,9.063091336044175e-05,6.986608078955732e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,50.7134656158566,0.03628957143247613,27.556125920657294,2.5968112783462027e-08,1.516884021914895,183.4659776684271,9.063091336044175e-05,0.010961789982749841,0.00012433475589466346,0.00012435892408112586,1.5171788737897363,-1.5165892071871099,7.430207393026275e-06,0.12433475589466346,1.5171788737897363,0.12435892408112587,1.1361435093482734e-05
B006,556.5,1397.4666443834685,-55.40683971133125,0.002031846339335092,-1.5527499728449368,83.91630484202207,2277.84761254443,0.11457732428341133,18.956000712561668,184.26205230980344,1.5067859145918665,-1.5527499728449368,0.1303134963269974,0.00020883802143361333,0.010539710262188114,0.010541430685389451,8.62013660092126e-05,6.616413770197642e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,55.40683971133125,0.03964805881701422,25.221915771847794,2.8371381153434306e-08,1.5067859145918665,184.26205230980344,8.62013660092126e-05,0.010541430685389451,0.00012350704217966115,0.0001235271548879265,1.5070312896327036,-1.5065405630950375,7.066836361723927e-06,0.12350704217966116,1.5070312896327036,0.1235271548879265,1.3319029663249803e-05
B006,557.0,1397.4666443834685,-60.760354491885536,0.002389803208499019,-1.5543397123898943,82.01332593900251,2287.159696147015,0.11553289063709105,18.955928783614173,185.09381287636725,1.4952451428398497,-1.5543397123898943,0.12954940842615434,0.00019218773238375802,0.010482690188393418,0.010484113773958366,8.469400952347778e-05,6.471484582908373e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,60.760354491885536,0.04347893005968072,22.999646003877388,3.1112678241320506e-08,1.4952451428398497,185.09381287636725,8.469400952347778e-05,0.010484113773958366,0.00012256107728195485,0.00012257767407663787,1.4954476237349823,-1.4950426761465767,6.943072007507118e-06,0.12256107728195485,1.4954476237349823,0.12257767407663786,1.548684320629792e-05
B006,557.5,1397.4666443834685,-67.16112564042483,0.002950526278613478,-1.5559078611747883,77.12212486914093,2294.774392139691,0.11630855544266686,18.941652740052614,185.8825046824617,1.4865320514245977,-1.5559078611747883,0.1326875342723685,0.00018163508341310428,0.010746826392715965,0.010748023009791434,8.59534219648622e-05,6.539842391726344e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,67.16112564042483,0.04805919762761482,20.807671566813674,3.439022879062526e-08,1.4865320514245977,185.8825046824617,8.59534219648622e-05,0.010748023009791434,0.00012184688946103255,0.0001218603945257297,1.486696813213903,-1.4863672973575062,7.046143338407408e-06,0.12184688946103255,1.486696813213903,0.1218603945257297,1.8541613745024652e-05
B006,558.0,1397.4666443834685,-75.26535995172685,0.0035965121609661,-1.55751078395377,82.03705643162534,2301.0883478793357,0.1171189416769723,18.935010782732785,186.4628055297233,1.4785610045966369,-1.55751078395377,0.13024485210483344,0.00016328426043342952,0.010553090907303312,0.010554026211305087,8.368815633300374e-05,6.347673636159505e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,75.26535995172685,0.05385843036341827,18.567195390811463,3.8540047148802915e-08,1.4785610045966369,186.4628055297233,8.368815633300374e-05,0.010554026211305087,0.00012119352496693741,0.00012120422075180704,1.4786914931720463,-1.4784305193313927,6.860290338351355e-06,0.12119352496693742,1.4786914931720463,0.12120422075180703,2.3310152619200625e-05
B006,558.5,1397.4666443834685,-85.83117548471344,0.004603669021970831,-1.5591460755760465,85.15147033402077,2307.4269890086466,0.11789617620295885,18.91526724041389,187.066856218098,1.470518224205743,-1.5591460755760465,0.1296786762803545,0.00014775048505323522,0.010512538448923688,0.010513255881089657,8.264374300951809e-05,6.248201468669541e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,85.83117548471344,0.061419122831786986,16.281574107444886,4.3950331894242636e-08,1.470518224205743,187.066856218098,8.264374300951809e-05,0.010513255881089657,0.00012053428067260185,0.00012054246058940489,1.47061801919074,-1.4704184298258407,6.774537010628675e-06,0.12053428067260186,1.47061801919074,0.12054246058940489,3.039895943180487e-05
B006,559.0,1397.4666443834685,-99.26407327503077,0.006217806604326632,-1.560722529300525,87.90442151013008,2308.8240331458,0.11874398900910375,18.900099515067808,187.4253283404924,1.4666589693077745,-1.560722529300525,0.13163124711585436,0.00013630059535475598,0.01068497228035451,0.010685520160667542,8.36171525728757e-05,6.30970349651034e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,99.26407327503077,0.07103144370134422,14.078272211452683,5.082872209281369e-08,1.4666589693077745,187.4253283404924,8.36171525728757e-05,0.010685520160667542,0.00012021794830391591,0.00012022404813088661,1.466733387196817,-1.4665845506373207,6.854212728289406e-06,0.12021794830391591,1.466733387196817,0.12022404813088661,4.171585212333554e-05
B006,559.5,1397.4666443834685,-117.59506403510578,0.008642350705741183,-1.5622927734815342,84.72058799332824,2313.590629463453,0.11946676631610985,18.876234242981837,187.68324429105232,1.4604519472370918,-1.5622927734815342,0.1313717774420405,0.0001228386487827037,0.010656812101762336,0.010657204277317416,8.29291032453728e-05,6.249169373862818e-07,12.5,8.196721311475407e-05,1.0,1.0,64,340,170,0.0,4.918032646179199,,,,,,,,,,117.59506403510578,0.08414874480741981,11.883718554430834,6.021520810219008e-08,1.4604519472370918,187.68324429105232,8.29291032453728e-05,0.010657204277317416,0.00011970917600304027,0.00011971350398168701,1.460504748576582,-1.4603991446091917,6.797713235511812e-06,0.11970917600304026,1.460504748576582,0.11971350398168701,5.6922624537134344e-05
