name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,regstart_a,regend_a,regstart_b,regend_b,background,regstart_c,regend_c,slope_abs,slope_over_nuobs,slope_over_nuobs_err,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old
FRB121102_tracking-M01_0055,555.0,1236.9871946792744,-22.461829492608334,0.007323357041777431,1.6152869195563937,19.024765759478182,216.81644949014256,0.09723232727791813,12.75696849831352,249.62173648011944,2.9629580053143645,1.6152869195563937,0.18619211630827692,0.009901618926782414,0.2151829020035197,0.2329660669440881,0.0025061667785623953,1.4486385027695605e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,22.461829492608334,0.018158497993531964,2.582287919277941e-05,55.07063416567818,1.467961679121512e-08,2.9629580053143645,249.62173648011944,0.0025061667785623953,0.2329660669440881,0.00029127062375442327,0.00029155909339788507,2.96589247027471,2.960026030428254,0.00024661021885877656,0.29127062375442325,2.96589247027471,0.29155909339788505
FRB121102_tracking-M01_0055,555.5,1236.9871946792744,-23.50342925479105,0.007076206063479783,1.6133176639355091,26.58882933799839,213.3973202919324,0.09724902033279534,12.779198442776352,250.94355227069389,3.160064368626857,1.6133176639355091,0.152410084510038,0.007973271329576679,0.17999046577553518,0.1953172538636116,0.0022220036277082003,1.2786525160845035e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,23.50342925479105,0.01900054370480772,2.9497477311941222e-05,52.630072882965415,1.53603398535861e-08,3.160064368626857,250.94355227069389,0.0022220036277082003,0.1953172538636116,0.00031064696769349454,0.0003109279696078675,3.1629228679185735,3.1572079995520164,0.00021862943415847973,0.31064696769349454,3.1629228679185735,0.3109279696078675
FRB121102_tracking-M01_0055,556.0,1236.9871946792744,-24.742113710431283,0.006989608348993072,1.6111912597278673,48.41703167270597,196.5922247542859,0.10056420370927684,12.783307530345251,250.8981950286548,3.8564130582846303,1.6111912597278673,0.10254475631950156,0.005668924391957522,0.1314403574521543,0.14261439828577252,0.001980415649576992,1.1399095479510995e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,24.742113710431283,0.02000191579739547,3.931757445205334e-05,49.99521096525234,1.6169864880922684e-08,3.8564130582846303,250.8981950286548,0.001980415649576992,0.14261439828577252,0.0003791008292816123,0.00037941026550532573,3.85956080632859,3.8532671339261735,0.00019484169053556448,0.3791008292816123,3.85956080632859,0.37941026550532575
FRB121102_tracking-M01_0055,556.5,1236.9871946792744,-26.178331550964927,0.00765364396173211,1.6089772942131042,73.71689721559335,180.3782403443885,0.1036704722209624,12.807960184215743,251.0611681085944,4.71651251107376,1.6089772942131042,0.07529825195618382,0.004463515909846983,0.10527484943114174,0.11425270208932795,0.0019382963884469735,1.1151956469084224e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,26.178331550964927,0.021162977000544002,5.312348713736089e-05,47.252331275240465,1.7108485109282906e-08,4.71651251107376,251.0611681085944,0.0019382963884469735,0.11425270208932795,0.0004636520458885949,0.0004639900846054006,4.7199512187235575,4.7130750950915035,0.0001906812126221568,0.4636520458885949,4.7199512187235575,0.4639900846054006
FRB121102_tracking-M01_0055,557.0,1236.9871946792744,-27.7503641815066,0.007808795212551896,1.6068163039190089,80.80117616879149,184.78837746589667,0.10430371656492493,12.789662448241419,251.43195061530145,4.474282279372637,1.6068163039190089,0.07394577891731326,0.004046042438169653,0.10108463969141623,0.10977365857879497,0.001762412235378968,1.0127052635130597e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,27.7503641815066,0.022433833026623776,5.674500922583741e-05,44.57553012956952,1.813586520791787e-08,4.474282279372637,251.43195061530145,0.001762412235378968,0.10977365857879497,0.0004398398451914477,0.00044012524166052675,4.477185482386543,4.4713800395744885,0.00017336459263992362,0.4398398451914477,4.477185482386543,0.44012524166052674
FRB121102_tracking-M01_0055,557.5,1236.9871946792744,-29.785924389344558,0.01034043307582535,1.6043566262003701,83.59360744458209,171.32033425131416,0.10702962359466384,12.81348470740788,251.5834502216351,5.260105307155767,1.6043566262003701,0.06706721696057863,0.0038911987194796328,0.09896183213215948,0.10749296131747094,0.002026821087998295,1.1641992836681067e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,29.785924389344558,0.024079412072707383,7.642933098414214e-05,41.52925316367844,1.9466177318796487e-08,5.260105307155767,251.5834502216351,0.002026821087998295,0.10749296131747094,0.0005170893921146405,0.0005173805986317275,5.2630676130343375,5.257143373447669,0.0001993568320268225,0.5170893921146406,5.2630676130343375,0.5173805986317276
FRB121102_tracking-M01_0055,558.0,1236.9871946792744,-32.01052089711905,0.012415814227019262,1.6020258993055667,81.94620284650641,169.072361852905,0.10949670378436406,12.80483558273821,251.51903019457768,5.397442692243326,1.6020258993055667,0.06705063582795448,0.0037734642963894796,0.10023341257142762,0.10885693994471053,0.002106904184067308,1.210503620812216e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,32.01052089711905,0.0258778110515677,9.086035287624798e-05,38.643144816509476,2.092003147880386e-08,5.397442692243326,251.51903019457768,0.002106904184067308,0.10885693994471053,0.0005305902064182879,0.0005308489309702241,5.400074574485515,5.394810880466875,0.0002072181066553001,0.5305902064182879,5.400074574485515,0.5308489309702241
FRB121102_tracking-M01_0055,558.5,1236.9871946792744,-34.90332005780549,0.01766694325455949,1.5994390609143676,81.49807318573275,155.417429567466,0.11299239446276578,12.772282136205687,251.51737579462554,6.488409414153723,1.5994390609143676,0.061361647383621785,0.003811422381394729,0.0997951268519598,0.10837587732070646,0.0025214743770106823,1.4490106854719046e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,34.90332005780549,0.028216395616654066,0.00012893471980809557,35.44038769465556,2.2810580204890484e-08,6.488409414153723,251.51737579462554,0.0025214743770106823,0.10837587732070646,0.0006378365990489676,0.0006380981567867686,6.491070117052903,6.485748030398874,0.0002479726675081603,0.6378365990489676,6.491070117052903,0.6380981567867686
FRB121102_tracking-M01_0055,559.0,1236.9871946792744,-37.624088720871356,0.022001814932856127,1.5973687876221137,78.31030299306897,151.99497872124982,0.11366608733128095,12.762478692084816,251.79785963752548,6.8342502023529805,1.5973687876221137,0.06112797614729041,0.003824890260195634,0.10178106539976517,0.11058526212303847,0.0027050723425449236,1.5531730207872068e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,37.624088720871356,0.030415908008349687,0.0001573992851588712,32.87753236646701,2.4588700787833066e-08,6.8342502023529805,251.79785963752548,0.0027050723425449236,0.11058526212303847,0.0006718341318921074,0.0006720712164058078,6.8366619507426725,6.8318375270700855,0.00026601327828220663,0.6718341318921074,6.8366619507426725,0.6720712164058078
FRB121102_tracking-M01_0055,559.5,1236.9871946792744,-40.874867264127865,0.026800793473255348,1.595256358787891,80.67543202405511,148.891512609985,0.1183580079256894,12.760106875425947,252.06433437109456,7.17857068188412,1.595256358787891,0.05889539758810796,0.003716973900039361,0.10022689660556597,0.10894622449874958,0.0027943933405411864,1.6031533985916167e-05,7.8125,9.8304e-05,4.0,1.0,64,360,180,,,,,0.0,16.722000122070312,16.722000122070312,35.38943862915039,27.57399940490723,,,40.874867264127865,0.03304388876452831,0.00019460459837792796,30.26278193604961,2.6713201968995256e-08,7.17857068188412,252.06433437109456,0.0027943933405411864,0.10894622449874958,0.0007056822123119366,0.0007058931960360903,7.180716919312442,7.176423344061712,0.00027478217817945687,0.7056822123119366,7.180716919312442,0.7058931960360904
