name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,regstart_a,regend_a,regstart_b,regend_b,regstart_c,regend_c,regstart_d,regend_d,background,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err
11A,564.0,6568.92191811869,-935.381249156528,0.1003044676777,-1.56972724440745,23.0651950145642,7.74447357855271,0.06170725438497,3.9826983632337303,0.4452743995045739,-978.957286734964,0.001069082387446,0.00138098634731,0.00020260662602700002,0.174449742673546,7.91664378421922e-05,0.17695157916117502,1.1464165885891099e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,935.381249156528,0.142394941029291,7.022721402681697,2.167706403032909e-08,0.4452743995045739,978.957286734964,7.91664378421922e-05,0.17695157916117502,1.8233689810112615e-05,1.8233700230096166e-05,0.4452746539649693,-0.4452741450442713,3.241814704607214e-06,0.018233689810112617,0.4452746539649693,0.018233700230096166,7.333389345580219e-05
11A,565.0,6568.92191811869,-957.915055058854,0.10531442434394199,-1.56975239327339,23.2527107956778,7.72942084438039,0.061708696055071996,4.1548379788924805,0.446209367903506,-978.5596372775079,0.001043933521509,0.001376546842293,0.00019832745704700003,0.17416325474658098,7.922801045989259e-05,0.17665225487896902,1.1477132279600999e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,957.915055058854,0.14582530695283355,6.857520281602732,2.2199275432184963e-08,0.446209367903506,978.5596372775079,7.922801045989259e-05,0.17665225487896902,1.827197614273662e-05,1.8271986099113265e-05,0.4462096110424251,-0.44620912476466884,3.2443359774925615e-06,0.01827197614273662,0.4462096110424251,0.018271986099113267,7.730908864630854e-05
11A,566.0,6568.92191811869,-991.123843350737,0.112384920997943,-1.56978737148888,23.1543695182941,7.747067572025809,0.061708335688392,4.278471322975331,0.444417926938145,-978.648325577735,0.001008955306018,0.00138098155784,0.000192821492461,0.174341566392167,7.89831371522269e-05,0.176834997970945,1.1440677788531101e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,991.123843350737,0.1508807465981557,6.627750873100621,2.2968875026812205e-08,0.444417926938145,978.648325577735,7.89831371522269e-05,0.176834997970945,1.8198617829499062e-05,1.819862709251393e-05,0.444418153144877,-0.44441770073148157,3.234308457206587e-06,0.018198617829499063,0.444418153144877,0.01819862709251393,8.232475083220372e-05
11A,567.0,6568.92191811869,-1020.7140363611301,0.118522672018895,-1.5698166207808402,23.4281670215382,7.74097214005365,0.061716065449238,4.5098988826062305,0.444859960992613,-979.022515467818,0.0009797060140599998,0.0013712604939030001,0.00018709422971400003,0.173316077649082,7.85662280638328e-05,0.17580461664375902,1.13760853815521e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1020.7140363611301,0.15538532031348273,6.435614368091825,2.365461520936824e-08,0.444859960992613,979.022515467818,7.85662280638328e-05,0.17580461664375902,1.8216718829340157e-05,1.8216727571762667e-05,0.4448601744862598,-0.4448597474990245,3.217236205718194e-06,0.01821671882934016,0.4448601744862598,0.018216727571762667,8.733262012739484e-05
11A,568.0,6568.92191811869,-1055.63097341037,0.126440570165288,-1.56984902634042,23.650949643888303,7.72863160125425,0.061714831719017,4.67773778748536,0.445013125104855,-979.3101968942219,0.000947300454479,0.001365302876142,0.000181563906228,0.172886083444028,7.838175890838041e-05,0.175374853762811,1.13464971133113e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1055.63097341037,0.1607007948288565,6.2227445798571335,2.4463800427525933e-08,0.445013125104855,979.3101968942219,7.838175890838041e-05,0.175374853762811,1.822299079762706e-05,1.8222998974085327e-05,0.4450133247774162,-0.4450129254323423,3.2096822129411783e-06,0.01822299079762706,0.4450133247774162,0.018222998974085327,9.360879131643267e-05
11A,569.0,6568.92191811869,-1094.5399795133999,0.135681704142376,-1.5698827012165901,23.8952798239394,7.720188700308781,0.061716848393512005,4.80964037044051,0.44618887775681504,979.105886433924,0.000913625578307,0.0013575032637650002,0.00017558323740400004,0.17205736020070803,7.82236538882843e-05,0.17452985979080302,1.1325507405037801e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1094.5399795133999,0.16662398992662578,6.001536756143927,2.5365500154147995e-08,0.44618887775681504,979.105886433924,7.82236538882843e-05,0.17452985979080302,1.8271137084889723e-05,1.8271144710456717e-05,0.4461890639763789,-0.44618869153729024,3.2032078144997955e-06,0.018271137084889724,0.4461890639763789,0.018271144710456717,0.00010096788296417935
11A,570.0,6568.92191811869,-1128.255843671,0.143995396668778,-1.56991000323296,24.0391810443014,7.726250741133749,0.061727813182784,4.88461013173349,0.445938569759823,979.013718847621,0.0008863235619410001,0.0013575908941010002,0.00017123474534399996,0.17191810492185902,7.812259143119671e-05,0.17438640745418002,1.13118355871933e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1128.255843671,0.17175662273576356,5.822191797159608,2.6146851017062157e-08,0.445938569759823,979.013718847621,7.812259143119671e-05,0.17438640745418002,1.8260887139284896e-05,1.826089431188335e-05,0.4459387449177039,-0.44593839460197454,3.1990692939251043e-06,0.018260887139284896,0.4459387449177039,0.01826089431188335,0.00010747670489355753
11A,571.0,6568.92191811869,-1173.0330881371901,0.15541705182639903,-1.5699438361295701,24.1013335222761,7.7145299723866705,0.061729735896518,4.8946039314345,0.446706409767592,979.166791227532,0.0008524906653239999,0.0013513700480399999,0.000165653462099,0.171417189465613,7.80166566909402e-05,0.17388214062326698,1.1294781286458099e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1173.0330881371901,0.17857315138754787,5.599945973007739,2.718454468076406e-08,0.446706409767592,979.166791227532,7.80166566909402e-05,0.17388214062326698,1.82923296757097e-05,1.829233632259722e-05,0.4467065720873902,-0.44670624744781906,3.1947312412592537e-06,0.0182923296757097,0.4467065720873902,0.01829233632259722,0.00011615157498245728
11A,572.0,6568.92191811869,-1215.7945903355699,0.16674570305220301,-1.5699738196193898,24.329345585210902,7.70939617441956,0.061728984477001,4.9853304651154104,0.44684660060670295,979.109594867464,0.0008225071755069999,0.00134830083877,0.000160887035921,0.171135910809733,7.79159842085236e-05,0.17359601694955698,1.1280645306335098e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1215.7945903355699,0.18508281959968373,5.402986631405894,2.81755243716903e-08,0.44684660060670295,979.109594867464,7.79159842085236e-05,0.17359601694955698,1.829807039711073e-05,1.8298076586598676e-05,0.4468467517566104,-0.4468464494568152,3.1906086886014723e-06,0.018298070397110733,0.4468467517566104,0.018298076586598676,0.00012520617990797862
11A,573.0,6568.92191811869,-1267.98536568499,0.18092139460605,-1.5700076743232398,24.366345902995896,7.718018150929639,0.061729380966041,4.92061064491316,0.44680203003558705,978.835889529091,0.00078865247166,0.001346066478672,0.000155371612115,0.170605914752785,7.76983432480562e-05,0.173050204073876,1.12528148770355e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,1267.98536568499,0.19302792474783068,5.180597580927152,2.938502347172259e-08,0.44680203003558705,978.835889529091,7.76983432480562e-05,0.173050204073876,1.829624526193725e-05,1.8296250951820267e-05,0.44680216898493136,-0.446801891086257,3.1816963465763115e-06,0.01829624526193725,0.44680216898493136,0.01829625095182027,0.00013595369945041948
