name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err
R1_B01,555.0,1330.7171045147568,-33.8179651942941,0.21401497894149812,-1.5412348589826006,5.0483588055863216,0.0019982791071227004,0.4650843141091678,2.0764741678131027,1.216316369547866,74.63142913770608,0.029561467812295898,1.6219249182039906e-05,0.02041781346094027,0.6049268839693646,0.00985149337865633,0.6096931288845562,0.00018696901858319197,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,33.8179651942941,0.025413339228570114,39.349413747083766,1.9097476948593844e-08,1.216316369547866,74.63142913770608,0.00985149337865633,0.6096931288845562,0.00039856254797344476,0.00039873671309830205,1.2168478793283142,-1.215784950744128,0.0032295479939374247,0.39856254797344476,1.2168478793283142,0.39873671309830205,0.00036135455931789884
R1_B01,555.5,1330.7171045147568,-35.17960630914136,0.2381285845008741,-1.5423784194358832,4.893448547535154,0.0019548086156681143,0.4671243711565641,2.0749291108726706,1.2272468502321736,75.10601067230853,0.028417907359013415,1.627052115978819e-05,0.02046620575518102,0.6244113732063783,0.010194368986146042,0.6296652416798257,0.00019225551500664487,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,35.17960630914136,0.026436577834452298,37.82637852229097,1.9866414690816153e-08,1.2272468502321736,75.10601067230853,0.010194368986146042,0.6296652416798257,0.00040214424788407866,0.0004023066404596793,1.2277424330434548,-1.2267513351345227,0.00334183977733621,0.40214424788407865,1.2277424330434548,0.4023066404596793,0.00039585242007750016
R1_B01,556.0,1330.7171045147568,-37.408466726465974,0.2663291936926077,-1.5440707753057499,5.054009735300029,0.001971385207579033,0.4650685549944793,1.916599245638742,1.2316194367233118,74.50166910646493,0.0267255514891466,1.6045600237554298e-05,0.019024964015525753,0.6055514277878932,0.010002954076546043,0.6101819452328645,0.00019018169962737412,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,37.408466726465974,0.028111509651111678,35.5726182055276,2.1125083277082006e-08,1.2316194367233118,74.50166910646493,0.010002954076546043,0.6101819452328645,0.0004035770570254948,0.0004037211889961314,1.2320592925907332,-1.2311796176693837,0.0032789386030508422,0.4035770570254948,1.2320592925907332,0.4037211889961314,0.00044993634097119844
R1_B01,556.5,1330.7171045147568,-39.87815846683018,0.3059289967053165,-1.5457251974060684,4.945349794549537,0.0019738352069532585,0.46284896937730435,1.3830036145726257,1.213715506613909,73.88259224032986,0.025071129388828224,1.6340278989265632e-05,0.018310654456636447,0.611018972126247,0.010030707065339527,0.6152513407724659,0.00019225491147154678,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,39.87815846683018,0.029967420071128993,33.36957261006973,2.2519752672794077e-08,1.213715506613909,73.88259224032986,0.010030707065339527,0.6152513407724659,0.0003977102972072457,0.00039783528889137456,1.2140969509624466,-1.213334079156554,0.0032878950815089965,0.3977102972072457,1.2140969509624466,0.39783528889137454,0.0005112501059809622
R1_B01,557.0,1330.7171045147568,-41.879068064101716,0.3357303502248196,-1.5469225861928626,4.962446837664383,0.0019502917556677422,0.4678709689499956,1.5356765424481986,1.2266539670329684,75.12375013076819,0.023873740602033896,1.61661412156146e-05,0.017983526288374393,0.6219669155721542,0.010146086007549003,0.6271282588908571,0.0001913150052259786,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,41.879068064101716,0.03147105265425504,31.77523201991768,2.364969424942568e-08,1.2266539670329684,75.12375013076819,0.010146086007549003,0.6271282588908571,0.0004019499719173631,0.0004020645153625146,1.2270035258865803,-1.226304414554263,0.003325616893430783,0.4019499719173631,1.2270035258865803,0.4020645153625146,0.00056202132948044
R1_B01,557.5,1330.7171045147568,-44.63201184962876,0.37292813185235246,-1.5483946318158333,5.135802029976797,0.0019552032028608115,0.46600270053614484,1.5063766583346412,1.2320524874088181,75.29512719165872,0.022401694979063243,1.5820071383986254e-05,0.01687106971040309,0.6084606444064775,0.009945377634064601,0.6136151318015732,0.000187117434937496,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,44.63201184962876,0.03353981976950971,29.8153063096981,2.520432002844056e-08,1.2320524874088181,75.29512719165872,0.009945377634064601,0.6136151318015732,0.0004037189590741215,0.00040382025346266984,1.232361613350433,-1.2317433562291018,0.0032597190132550758,0.40371895907412153,1.232361613350433,0.40382025346266986,0.0006351020926922149
R1_B01,558.0,1330.7171045147568,-47.41322492459721,0.42856561824024186,-1.5497082915026825,4.982028841000292,0.0019460270742488023,0.4650439471952369,1.0658308007653088,1.2384673482415507,75.24934715736569,0.02108803529221396,1.5939758161651093e-05,0.016461908359478205,0.6156860257322102,0.010122648235629101,0.6208463199942101,0.00019055712313245836,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,47.41322492459721,0.03562983053553395,28.066369807812894,2.677490986976251e-08,1.2384673482415507,75.24934715736569,0.010122648235629101,0.6208463199942101,0.0004058209806717913,0.0004059112082967619,1.238742701100958,-1.238191981991499,0.0033177268530283164,0.40582098067179134,1.238742701100958,0.4059112082967619,0.0007188440895459273
R1_B01,558.5,1330.7171045147568,-52.705208162287036,0.5317796211299455,-1.551825146082039,4.907544171758235,0.001948331279189116,0.4651501646170173,1.2943451329284392,1.2329989246283357,75.31261025769626,0.018971180712857742,1.6106112720145543e-05,0.015577618588640743,0.6218050384078807,0.010172313104510857,0.627034181362146,0.00019136755578958882,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,52.705208162287036,0.03960662110937988,25.24830374291065,2.9763366665240503e-08,1.2329989246283357,75.31261025769626,0.010172313104510857,0.627034181362146,0.00040402908762221306,0.0004041017852162857,1.2332207800789967,-1.2327770496138835,0.003333863318497121,0.40402908762221307,1.2332207800789967,0.4041017852162857,0.0008852747141085334
R1_B01,559.0,1330.7171045147568,-56.613546142566626,0.6112893385396031,-1.5531345464177366,4.938391595609009,0.0019763059955732235,0.46216798410038984,1.217222119796759,1.2277333335055276,74.64424973940088,0.017661780377159982,1.620092468678835e-05,0.014747830144382348,0.6112540069123948,0.010047115536843319,0.6158987806339932,0.00019066484435642148,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,56.613546142566626,0.04254363752482962,23.505277361776432,3.197045967207513e-08,1.2277333335055276,74.64424973940088,0.010047115536843319,0.6158987806339932,0.0004023036587230913,0.0004023663968956316,1.2279247952137196,-1.2275418498445103,0.0032927522356537846,0.40230365872309126,1.2279247952137196,0.40236639689563164,0.001020830987390309
R1_B01,559.5,1330.7171045147568,-60.51928283900132,0.690315267715395,-1.5542741712510277,5.064421885069677,0.00195264385781348,0.4668797572720884,1.3366427760709214,1.2306333882704297,75.12604812077439,0.01652215554386885,1.5879001772354756e-05,0.014201047699949164,0.6105021542639956,0.009993788737246103,0.6154866844063996,0.0001884262361563511,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,60.51928283900132,0.045478699141745495,21.988315824145612,3.417608369761596e-08,1.2306333882704297,75.12604812077439,0.009993788737246103,0.6154866844063996,0.0004032539486684544,0.00040330898061448844,1.230801332441676,-1.2304654219411326,0.003275211600212164,0.4032539486684544,1.230801332441676,0.40330898061448844,0.0011674187870611625
