name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,regstart_a,regend_a,regstart_b,regend_b,background,regstart_c,regend_c,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err,tw_FWHM_ms,band_FWHM_mhz,line slope (mhz/ms),center_f_new,center_f_old,bandwidth (mhz),center_f_err
B001,555.0,1513.5586994306111,-36.6452602729962,0.503842828629208,-1.54351443877529,3.2847579290159,1.98679629041564,0.462442333987945,31.5047898550023,1.65574995737625,142.837885130305,0.027281888019602,0.045441622845592,0.096787677802541,3.26441925309783,0.0378545611777,3.26563451249959,0.000374917898584,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,36.6452602729962,0.0242113241374661,41.30298674794647,1.5996290164745006e-08,1.65574995737625,142.837885130305,0.0378545611777,3.26563451249959,0.0005428688384839,0.0005430709030091,1.6563662541778637,-1.6551338070772852,0.0124159512316686,0.5428688384839893,1.6563662541778637,0.5430709030091084,0.0006033196878812,2.5502211780497164,88.38834764831843,-36.73863636363819,1513.5586994306111,1446.8160177997,336.2323471714817,7.631613058051706
B001,555.5,1513.5586994306111,-36.4393868765885,0.462449186575055,-1.54336038007047,3.55880959385003,2.0040060865672,0.45509713209599,30.127512064275,1.62242886190881,144.22761562682,0.027435946724431,0.043849322519408,0.093535880418241,3.15379276256756,0.035484218712153,3.15498004327531,0.000348012585388,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,36.4393868765885,0.0240753047042686,41.536338263776855,1.5906422865083175e-08,1.62242886190881,144.22761562682,0.035484218712153,3.15498004327531,0.0005319438891504,0.0005321441319787,1.623039602535243,-1.62181827382108,0.0116385495901638,0.5319438891504029,1.623039602535243,0.5321441319787416,0.0005763909159487,2.5502211780497164,88.38834764831843,-36.73863636363819,1513.5586994306111,1446.8160177997,339.5022632686956,7.672122654432119
B001,556.0,1513.5586994306111,-39.8261646515964,0.482574891139232,-1.54569248031063,3.48775812519193,2.0603578580103,0.451365411266754,31.2523183924406,1.52257036264013,150.983905643535,0.025103846484272,0.04394008813497,0.087076151648169,3.21815833606206,0.032456130915146,3.21917301333347,0.000304056315923,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,39.8261646515964,0.0263129303584847,38.00412901095012,1.7384809963685883e-08,1.52257036264013,150.983905643535,0.032456130915146,3.21917301333347,0.0004992033975869,0.0004993607226602,1.5230502041139031,-1.5220906235477711,0.0106447080452675,0.4992033975869029,1.5230502041139031,0.4993607226602711,0.0005954408587758,2.5502211780497164,88.38834764831843,-40.07851239669621,1513.5586994306111,1446.8160177997,355.42790218615306,7.6541937435312555
B001,556.5,1513.5586994306111,-43.2737125113893,0.612082995348062,-1.54769172137253,3.37180915157116,1.96936793766214,0.441329875754115,31.6509614641426,1.62916022116025,153.797278604982,0.023104605422365,0.042954511754347,0.085226254810079,3.35271013964422,0.035519757292063,3.35360516866338,0.000326685716376,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,43.2737125113893,0.028590706477171,34.976400488685925,1.8889724255773242e-08,1.62916022116025,153.797278604982,0.035519757292063,3.35360516866338,0.0005341508921836,0.0005342934788544,1.629595110506261,-1.6287253990752155,0.0116489308082686,0.5341508921836619,1.629595110506261,0.5342934788544852,0.0007425787861037,2.7820594669633265,106.06601717798212,-43.68918918919137,1513.5586994306111,1446.8160177997,362.0682528874823,7.679903908504796
B001,557.0,1513.5586994306111,-46.6203833497598,0.700081993062956,-1.54934977047772,3.38172216166215,2.05543375165878,0.448171026103953,31.3926654461982,1.49957371773097,145.682244372065,0.021446556317181,0.045467964480675,0.076635167442944,3.22114772975898,0.033159617877937,3.22188850444651,0.000321956691227,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,46.6203833497598,0.0308018336965048,32.46559960855426,2.0350603982582383e-08,1.49957371773097,145.682244372065,0.033159617877937,3.22188850444651,0.0004916635140101,0.0004917765951883,1.4999186153244757,-1.499228862901293,0.0108745063914265,0.4916635140101295,1.4999186153244757,0.4917765951883279,0.0008505867249557,2.318382889136106,106.06601717798212,-47.08252427184701,1513.5586994306111,1446.8160177997,342.9765772753228,7.714761768225177
B001,557.5,1513.5586994306111,-48.4519717354352,0.757316618785503,-1.55016026161333,3.50639859979923,1.99569598343102,0.452734583992358,32.6267407662148,1.58121131181165,148.285989421148,0.020636065181567,0.042682484959607,0.073630566011613,3.16965472077388,0.033802023363785,3.17032978218443,0.000322455375019,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,48.4519717354352,0.0320119541803449,31.23833035516436,2.1150124004036043e-08,1.58121131181165,148.285989421148,0.033802023363785,3.17032978218443,0.0005184299382988,0.0005185403312963,1.581548010453799,-1.5808746465652894,0.0110849905150914,0.5184299382988757,1.581548010453799,0.5185403312963015,0.0009369337013469,2.7820594669633265,123.74368670764582,-48.98484848485092,1513.5586994306111,1446.8160177997,349.1124728121767,7.642698742369318
B001,558.0,1513.5586994306111,-50.1784035853296,0.862160116957581,-1.55087007220766,3.42829940182308,1.83615757402353,0.463617842844219,32.8636373840062,1.77044560132517,159.586816240187,0.019926254587239,0.040063767793146,0.079374936915624,3.48020439239789,0.03861396423229,3.48089503436032,0.000342280216369,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,50.1784035853296,0.0331525983129734,30.163548285404648,2.1903741378147548e-08,1.77044560132517,159.586816240187,0.03861396423229,3.48089503436032,0.0005804739676475,0.0005805892127522,1.770797098894511,-1.7700941302652489,0.0126628296731749,0.5804739676475678,1.770797098894511,0.5805892127522697,0.001054697779375,2.7820594669633265,123.74368670764582,-50.51562500000252,1513.5586994306111,1446.8160177997,375.72362987289296,7.603327248056494
B001,558.5,1513.5586994306111,-52.1480315203668,0.837096588161125,-1.55162249755144,3.40020895442941,1.81984598348373,0.475392515199966,32.7888166188286,1.73359894437886,172.044873575219,0.019173829243455,0.039296887817779,0.080419247037763,3.71226919822702,0.037418376591761,3.71295176604809,0.000307708902441,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,52.1480315203668,0.0344539207762371,29.02427292657211,2.276351805133057e-08,1.73359894437886,172.044873575219,0.037418376591761,3.71295176604809,0.0005683930965176,0.0005684975827164,1.7339176272853143,-1.7332802876866402,0.0122705754471466,0.5683930965176306,1.7339176272853143,0.5684975827164681,0.001019833107412,2.7820594669633265,123.74368670764582,-52.14516129032518,1513.5586994306111,1446.8160177997,405.06024822295865,7.538902013813738
B001,559.0,1513.558699430611,-58.5660170467207,1.03793471801854,-1.55372323756884,3.43077258664635,1.90405578830975,0.461596037691728,31.8157299447579,1.6258707082064,165.491668954542,0.017073089226053,0.041453531095468,0.070946259196296,3.6012414917196,0.035390367959477,3.60176627662988,0.000302518585463,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,58.5660170467207,0.0386942489040912,25.84363382989112,2.5565079780947873e-08,1.6258707082064,165.491668954542,0.035390367959477,3.60176627662988,0.0005330723633463,0.0005331500580138,1.6261076769422171,-1.6256337511305716,0.0116050905128558,0.533072363346334,1.6261076769422171,0.5331500580138151,0.0012701842871361,2.5502211780497164,123.74368670764582,-59.14024390244197,1513.558699430611,1446.8160177997,389.6463033680018,7.620489748266344
B001,559.5,1513.5586994306111,-62.2144144297883,1.1981946722477,-1.55472426529659,3.43289715520763,1.82772927919025,0.443623703754609,31.8685543171648,1.74433009965102,171.417364737595,0.01607206149831,0.039301163069662,0.070090694762453,3.68413675212034,0.037500141189751,3.68461260243262,0.000309480407868,25.0,0.000327868852459,2,4,32,80,40,0,4.9180326461792,,,,,,,,,,62.2144144297883,0.0411047252103224,24.328103274824336,2.7157668365148784e-08,1.74433009965102,171.417364737595,0.037500141189751,3.68461260243262,0.0005719115080822,0.0005719853739449,1.7445553905322029,-1.74410481453412,0.0122967162499523,0.5719115080822731,1.7445553905322029,0.571985373944956,0.0014667581564825,3.013897755876937,159.0990257669732,-62.173076923080025,1513.5586994306111,1446.8160177997,403.6049131125745,7.6673189619927635
