name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,regstart_a,regend_a,regstart_b,regend_b,background,slope_abs,slope_over_nuobs,slope_over_nuobs_err,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,tw_FWHM_ms,band_FWHM_mhz,line slope (mhz/ms),center_f_new,center_f_old,bandwidth (mhz),center_f_err
M001,555.0,4436.468057181491,-747.0459773491548,0.0130369233260348,-1.5694577218990364,2437.814522201892,450.68285143124746,0.0152906263262971,9.405960663705114,0.4900690139362397,270.5123792350551,0.0013386048958601,0.0041101340505318,5.5549640989739856e-06,0.0024665130164226,4.4672705415255706e-06,0.0024717005108281,2.33603674652472e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,747.0459773491548,0.1683875478692743,0.0001450902009879,5.93868140877221,3.795531618822288e-08,0.4900690139362397,270.5123792350551,4.4672705415255706e-06,0.0024717005108281,5.018306702707095e-06,5.0183111987549165e-06,0.4900694530034098,-0.490068574868022,4.5744891329372e-08,0.005018306702707,0.4900694530034098,0.0050183111987549,0.8109666252072277,357.97280797568965,-746.3616427432215,4436.468057181491,4454.987779892042,637.0074023362766,1.8060066691492904
M001,555.5,4436.468057181491,-773.780684658098,0.0140399279554408,-1.5695039716571944,2414.7118484479224,450.7583194163476,0.0153006036317089,9.405545000505544,0.4898661976556636,270.51500509592745,0.0012923551377021,0.0041282044011745,5.5096347759295375e-06,0.0024769631894573,4.484300843969393e-06,0.0024821728151102,2.344921911697844e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,773.780684658098,0.174413672021271,0.0001555106644158,5.73349547894412,3.9313631874107735e-08,0.4898661976556636,270.51500509592745,4.484300843969393e-06,0.0024821728151102,5.016229863993995e-06,5.01623405299109e-06,0.489866606737411,-0.4898657885729162,4.59192789888877e-08,0.0050162298639939,0.489866606737411,0.005016234052991,0.8109666252072277,366.8116427405215,-776.0675787728026,4436.468057181491,4454.987779892042,637.0136245168875,1.8060233412928655
M001,556.0,4436.468057181491,-803.4474922919151,0.0151655196566791,-1.569551691030617,2400.1563472888943,450.8411217005477,0.0153137401703528,9.40561465579954,0.4895386964311531,270.4782471793899,0.0012446357642794,0.0041389028529708,5.452197562771039e-06,0.0024825859498632,4.492093013926295e-06,0.0024877969307788,2.349317016487556e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,803.4474922919151,0.1811007048707004,0.0001674710347745,5.521789662353688,4.082091937471418e-08,0.4895386964311531,270.4782471793899,4.492093013926295e-06,0.0024877969307788,5.012876251455008e-06,5.012880134213676e-06,0.4895390756068044,-0.4895383172545534,4.5999068091480514e-08,0.005012876251455,0.4895390756068044,0.0050128801342136,0.8109666252072277,366.8116427405215,-804.0700171821304,4436.468057181491,4454.987779892042,636.9271048648642,1.8060490890477345
M001,556.5,4436.468057181491,-836.2408043130121,0.0163653618556581,-1.569600499566454,2415.517803232771,450.9226613226365,0.0153250405417265,9.406951605016038,0.4893111955195475,270.47085886390033,0.0011958272284426,0.0041254373049052,5.364124845231625e-06,0.0024739392188846,4.474565955204406e-06,0.0024791289390717,2.340250147143821e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,836.2408043130121,0.1884924659739982,0.0001812981510093,5.305251829735975,4.2487055816592174e-08,0.4893111955195475,270.47085886390033,4.474565955204406e-06,0.0024791289390717,5.010546642120166e-06,5.01055022465834e-06,0.4893115453767909,-0.4893108456614091,4.5819588142250856e-08,0.0050105466421201,0.4893115453767909,0.0050105502246583,0.8109666252072277,375.65047750535336,-834.1688948306596,4436.468057181491,4454.987779892042,636.9097446578315,1.8060529121936095
M001,557.0,4436.468057181491,-872.2237694778778,0.017937501119181,-1.5696498325157406,2374.1598019371563,451.0734762982787,0.0153109463530181,9.40659579290416,0.4888378891342965,270.4414780372479,0.0011464942791559,0.004161349307057,5.338343016769998e-06,0.0024944265309473,4.507685341143831e-06,0.0024996519172784,2.3577922448158402e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,872.2237694778778,0.1966031893469792,0.0001970060466233,5.086387475816219,4.431524961139519e-08,0.4888378891342965,270.4414780372479,4.507685341143831e-06,0.0024996519172784,5.005699984735196e-06,5.005703274595249e-06,0.4888382104096923,-0.4888375678580621,4.6158728229860624e-08,0.0050056999847351,0.4888382104096923,0.0050057032745952,0.8109666252072277,375.65047750535336,-871.4501862197394,4436.468057181491,4454.987779892042,636.8405949423957,1.8060033306961671
M001,557.5,4436.468057181491,-907.2992784413968,0.0194094974206875,-1.5696941550872432,2374.595554204179,451.0953302297813,0.0153261340937134,9.405296749202172,0.4888414215751652,270.4170559831401,0.0011021717076534,0.0041612408789006,5.279509763000284e-06,0.002494070648878,4.507418393817257e-06,0.0024992890142117,2.3578307731826543e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,907.2992784413968,0.2045093679808456,0.000213192418527,4.889751554528592,4.609733809528912e-08,0.4888414215751652,270.4170559831401,4.507418393817257e-06,0.0024992890142117,5.005736156929692e-06,5.005739197361569e-06,0.4888417184923406,-0.4888411246571997,4.6155992387339634e-08,0.0050057361569296,0.4888417184923406,0.0050057391973615,0.8109666252072277,384.4893122701852,-912.2197855750488,4436.468057181491,4454.987779892042,636.7831171706739,1.805994702862664
M001,558.0,4436.468057181491,-950.7417012104512,0.0213210080981406,-1.5697445167922863,2372.4054358443595,451.0965274804784,0.0153362376901437,9.406999805061684,0.4888754185144077,270.4008050931898,0.0010518100026102,0.0041623153046514,5.21665045078577e-06,0.0024944872238427,4.508827476086436e-06,0.0024997009663373,2.3587513848486303e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,950.7417012104512,0.214301486893712,0.0002340802816969,4.666323199595783,4.830452606253156e-08,0.4888754185144077,270.4008050931898,4.508827476086436e-06,0.0024997009663373,5.006084285587535e-06,5.006087054705999e-06,0.4888756889361327,-0.4888751480919482,4.61704188943054e-08,0.0050060842855875,0.4888756889361327,0.0050060870547059,0.8109666252072277,384.4893122701852,-956.991308793456,4436.468057181491,4454.987779892042,636.7448838089922,1.8059627663356435
M001,558.5,4436.468057181491,-996.4489320983058,0.024019135780997,-1.5697927634088824,2252.789695676372,451.2830517375122,0.0153335953240154,9.405709553077978,0.4886115299954364,270.3657200803371,0.0010035633860141,0.0042722530818235,5.288850893465933e-06,0.0025589799160882,4.623509217437127e-06,0.0025643181072868,2.4190611553177852e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,996.4489320983058,0.2246041038175207,0.0002569687688616,4.452278400097483,5.0626782594308303e-08,0.4886115299954364,270.3657200803371,4.623509217437127e-06,0.0025643181072868,5.003382067153269e-06,5.003384586697878e-06,0.4886117760447147,-0.4886112839454784,4.734475822786374e-08,0.0050033820671532,0.4886117760447147,0.0050033845866978,0.8109666252072277,393.328147035017,-993.5642250530784,4436.468057181491,4454.987779892042,636.662296530406,1.8059553415758542
M001,559.0,4436.468057181491,-1047.4795585951686,0.0262880900863598,-1.5698416545170517,2298.0477778034083,451.2558303584716,0.0153396453286862,9.405468081581432,0.4885586168922882,270.34815353012925,0.000954672277845,0.0042312627924784,5.178871406528906e-06,0.0025344128102686,4.578928767049195e-06,0.0025396944796649,2.3958935893678283e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1047.4795585951686,0.2361066382298348,0.0002840541916255,4.235374352442236,5.321950596435368e-08,0.4885586168922882,270.34815353012925,4.578928767049195e-06,0.0025396944796649,5.002840236977031e-06,5.002842516762641e-06,0.4885588395276017,-0.488558394256349,4.6888251941469134e-08,0.005002840236977,0.4885588395276017,0.0050028425167626,0.8109666252072277,393.328147035017,-1046.909955257271,4436.468057181491,4454.987779892042,636.6209609618389,1.8059726916439902
M001,559.5,4436.468057181491,-1096.150393020584,0.028943781551673,-1.569884043472328,2274.7303596951665,451.2871596417111,0.0153373746801334,9.409007582756216,0.4886820863905611,270.3451749793896,0.0009122833225685,0.0042533635828692,5.157018733395243e-06,0.0025474427403222,4.603687323949193e-06,0.0025527502206797,2.408876986156465e-08,6.25,1.024e-05,4.0,1.0,128,300,150,,,,,,,,,,1096.150393020584,0.2470772648179447,0.0003111593637788,4.047316942482892,5.56923349009559e-08,0.4886820863905611,270.3451749793896,4.603687323949193e-06,0.0025527502206797,5.004104564639346e-06,5.00410664699345e-06,0.4886822897454541,-0.4886818830350883,4.7141777814302646e-08,0.0050041045646393,0.4886822897454541,0.0050041066469934,0.8109666252072277,402.1669817998489,-1098.518192488263,4436.468057181491,4454.987779892042,636.613972204328,1.8060057296285128
