name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err,tw_FWHM_ms,band_FWHM_mhz,line slope (mhz/ms),center_f_new,center_f_old,bandwidth (mhz),center_f_err
R1_B01,555.0,1337.4817919385107,-33.817965194294096,0.214014978941498,-1.5412348589826006,5.0483588055863216,0.0019982791071227,0.4650843141091678,2.0764741678131027,1.216316369547866,74.63142913770608,0.0295614678122958,1.6219249182039906e-05,0.0204178134609402,0.6049268839693646,0.0098514933786563,0.6096931288845562,0.0001869690185831,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,33.817965194294096,0.0252848041731313,39.54944610813474,1.8904783844933146e-08,1.216316369547866,74.63142913770608,0.0098514933786563,0.6096931288845562,0.0003985625479734,0.0003987367130983,1.2168478793283142,-1.215784950744128,0.0032295479939374,0.3985625479734447,1.2168478793283142,0.398736713098302,0.0003595269077882,1.8536380004736632,58.55728031701096,-34.731910342261884,1337.4817919385107,1330.7171045147568,175.6668014791859,0.5993222492665837
R1_B01,555.5,1337.4817919385107,-35.17960630914136,0.2381285845008741,-1.5423784194358832,4.8934485475351535,0.0019548086156681,0.4671243711565641,2.0749291108726697,1.2272468502321736,75.10601067230853,0.0284179073590134,1.627052115978819e-05,0.020466205755181,0.6244113732063783,0.010194368986146,0.6296652416798257,0.0001922555150066,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,35.17960630914136,0.0263028674642014,38.018668548629215,1.9665963023002212e-08,1.2272468502321736,75.10601067230853,0.010194368986146,0.6296652416798257,0.000402144247884,0.0004023066404596,1.2277424330434548,-1.2267513351345227,0.0033418397773361,0.4021442478840786,1.2277424330434548,0.4023066404596793,0.0003938502859894,1.8536380004736632,61.87184335382291,-34.731910342261884,1337.4817919385107,1330.7171045147568,176.78972970463502,0.5981888816305241
R1_B01,556.0,1337.4817919385107,-37.40846672646597,0.2663291936926077,-1.54407077530575,5.054009735300029,0.001971385207579,0.4650685549944793,1.916599245638742,1.2316194367233118,74.50166910646495,0.0267255514891466,1.6045600237554298e-05,0.0190249640155257,0.6055514277878932,0.010002954076546,0.6101819452328645,0.0001901816996273,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,37.40846672646597,0.0279693278457623,35.75345126327407,2.0911931672149635e-08,1.2316194367233118,74.50166910646495,0.010002954076546,0.6101819452328645,0.0004035770570254,0.0004037211889961,1.2320592925907332,-1.2311796176693837,0.0032789386030508,0.4035770570254948,1.2320592925907332,0.4037211889961314,0.0004476606623596,1.8536380004736632,65.18640639063484,-36.83687460542929,1337.4817919385107,1330.7171045147568,175.375373777481,0.601243846831084
R1_B01,556.5,1337.4817919385107,-39.87815846683018,0.3059289967053165,-1.5457251974060684,4.9453497945495375,0.0019738352069532,0.4628489693773044,1.3830036145726257,1.2137155066139091,73.88259224032986,0.0250711293888282,1.6340278989265632e-05,0.0183106544566364,0.6110189721262471,0.0100307070653395,0.6152513407724659,0.0001922549114715,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,39.87815846683018,0.0298158514808877,33.53920650701562,2.2292528885700493e-08,1.2137155066139091,73.88259224032986,0.0100307070653395,0.6152513407724659,0.0003977102972072,0.0003978352888913,1.2140969509624469,-1.213334079156554,0.0032878950815089,0.3977102972072457,1.2140969509624469,0.3978352888913746,0.0005086643158915,1.8536380004736632,67.39611508184281,-39.21344716061829,1337.4817919385107,1330.7171045147568,173.9255334172543,0.5977376112776919
R1_B01,557.0,1337.4817919385107,-41.87906806410172,0.3357303502248196,-1.5469225861928626,4.962446837664383,0.0019502917556677,0.4678709689499956,1.5356765424481986,1.2266539670329684,75.12375013076819,0.0238737406020338,1.6166141215614598e-05,0.0179835262883743,0.6219669155721542,0.010146086007549,0.6271282588908571,0.0001913150052259,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,41.87906806410172,0.0313118790225946,31.9367611020214,2.3411069377783473e-08,1.2266539670329684,75.12375013076819,0.010146086007549,0.6271282588908571,0.0004019499719173,0.0004020645153625,1.2270035258865803,-1.226304414554263,0.0033256168934307,0.4019499719173631,1.2270035258865803,0.4020645153625146,0.0005591787497591,1.8536380004736632,70.71067811865474,-41.91782282686778,1337.4817919385107,1330.7171045147568,176.8525016670681,0.5943577166554813
R1_B01,557.5,1337.4817919385107,-44.63201184962875,0.3729281318523525,-1.5483946318158333,5.135802029976797,0.0019552032028608,0.4660027005361448,1.5063766583346412,1.232052487408818,75.29512719165872,0.0224016949790632,1.5820071383986254e-05,0.016871069710403,0.6084606444064775,0.0099453776340646,0.6136151318015732,0.0001871174349374,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,44.63201184962875,0.0333701827708176,29.966872128566973,2.4950009018404472e-08,1.232052487408818,75.29512719165872,0.0099453776340646,0.6136151318015732,0.0004037189590741,0.0004038202534626,1.2323616133504327,-1.2317433562291016,0.003259719013255,0.4037189590741215,1.2323616133504327,0.4038202534626698,0.0006318898866157,1.8536380004736632,72.92038680986272,-45.022846739969125,1337.4817919385107,1330.7171045147568,177.26198728402994,0.5958529464322249
R1_B01,558.0,1337.4817919385107,-47.413224924597216,0.4285656182402418,-1.5497082915026823,4.982028841000291,0.0019460270742488,0.4650439471952369,1.0658308007653088,1.2384673482415507,75.24934715736569,0.0210880352922139,1.5939758161651093e-05,0.0164619083594782,0.6156860257322102,0.0101226482356291,0.6208463199942101,0.0001905571231324,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,47.413224924597216,0.0354496227241177,28.20904492502991,2.6504751644310648e-08,1.2384673482415507,75.24934715736569,0.0101226482356291,0.6208463199942101,0.0004058209806717,0.0004059112082967,1.238742701100958,-1.238191981991499,0.0033177268530283,0.4058209806717913,1.238742701100958,0.4059112082967619,0.0007152083349498,1.8536380004736632,76.23494984667465,-48.624674479166686,1337.4817919385107,1330.7171045147568,177.15927193366775,0.5956156186240185
R1_B01,558.5,1337.4817919385107,-52.70520816228704,0.5317796211299455,-1.5518251460820391,4.907544171758235,0.0019483312791891,0.4651501646170173,1.2943451329284392,1.2329989246283355,75.31261025769626,0.0189711807128577,1.6106112720145546e-05,0.0155776185886407,0.6218050384078807,0.0101723131045108,0.627034181362146,0.0001913675557895,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,52.70520816228704,0.0394062995698038,25.376653248768296,2.9463054979379884e-08,1.2329989246283355,75.31261025769626,0.0101723131045108,0.627034181362146,0.0004040290876222,0.0004041017852162,1.2332207800789965,-1.2327770496138832,0.0033338633184971,0.4040290876222129,1.2332207800789965,0.4041017852162855,0.0008807971901817,1.8536380004736632,81.75922157469455,-52.85290704257242,1337.4817919385107,1330.7171045147568,177.3157310217714,0.5950204226027797
R1_B01,559.0,1337.4817919385107,-56.61354614256663,0.6112893385396031,-1.5531345464177366,4.9383915956090085,0.0019763059955732,0.4621679841003898,1.217222119796759,1.2277333335055276,74.64424973940088,0.0176617803771599,1.6200924686788352e-05,0.0147478301443823,0.6112540069123948,0.0100471155368433,0.6158987806339932,0.0001906648443564,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,56.61354614256663,0.0423284612050773,23.624766210023434,3.16478784684819e-08,1.2277333335055276,74.64424973940088,0.0100471155368433,0.6158987806339932,0.000402303658723,0.0004023663968956,1.2279247952137196,-1.2275418498445103,0.0032927522356537,0.4023036587230912,1.2279247952137196,0.4023663968956316,0.0010156678497806,1.8536380004736632,83.96893026590251,-57.88651723710316,1337.4817919385107,1330.7171045147568,175.74636094257022,0.5975421331710433
R1_B01,559.5,1337.4817919385107,-60.51928283900132,0.6903152677153951,-1.5542741712510275,5.0644218850696765,0.0019526438578134,0.4668797572720884,1.3366427760709214,1.2306333882704297,75.1260481207744,0.0165221555438688,1.5879001772354756e-05,0.0142010476999491,0.6105021542639956,0.0099937887372461,0.6154866844063996,0.0001884262361563,1.5625,0.00032768,1.0,1.0,128,120,60,,,,,60.51928283900132,0.0452486779287561,22.10009321320936,3.3831247798277635e-08,1.2306333882704297,75.1260481207744,0.0099937887372461,0.6154866844063996,0.0004032539486684,0.0004033089806144,1.2308013324416762,-1.2304654219411326,0.0032752116002121,0.4032539486684544,1.2308013324416762,0.4033089806144884,0.0011615142407453,1.8536380004736632,87.28349330271445,-60.78084309895834,1337.4817919385107,1330.7171045147568,176.88417820726838,0.6010217708241028
