name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,background,regstart_a,regend_a,regstart_b,regend_b,regstart_c,regend_c,regstart_d,regend_d,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err,tw_FWHM_ms,band_FWHM_mhz,line slope (mhz/ms),center_f_new,center_f_old,bandwidth (mhz),center_f_err
11A,555.0,6646.863448986288,-735.6951214562241,0.067289709295694,-1.56943706892438,20.3630264725373,7.74601521119743,0.061715731639018,3.276023226152029,0.44942086350741,976.534106880514,0.001359257870515,0.001480532330306,0.0002676456129229,0.186549580500529,8.56535372180208e-05,0.189162594268365,1.24323176325589e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.9769999980926496,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,735.6951214562241,0.1106830502992241,9.03480702145963,1.665192178968329e-08,0.44942086350741,976.534106880514,8.56535372180208e-05,0.189162594268365,1.840348474671942e-05,1.8403501747702105e-05,0.4494212786785813,-0.4494204483365343,3.5074584868771342e-06,0.0184034847467194,0.4494212786785813,0.0184035017477021,4.568283610241547e-05,0.7528443334117758,519.9720763998732,-739.1281357475191,6646.863448986288,6568.92191811869,2299.5599652242427,2.7653573983992445
11A,555.5,6646.863545401633,-747.882200537467,0.0682719232235369,-1.569459218620202,20.57375829556694,7.777091767452142,0.0617158706371776,3.265540792254192,0.4465219722521562,976.875745356426,0.0013371081746944,0.0014692879049509,0.0002605578881332,0.1844342742170149,8.411565043817588e-05,0.1870240904518559,1.2206044985871857e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.976999998092652,0.0,2.7939999103546143,2.7939999103546143,3.384000062942505,3.384000062942505,4.098999977111816,4.098999977111816,5.732906818389893,747.882200537467,0.1125165569338127,8.887580879214468,1.6927766933270774e-08,0.4465219722521562,976.875745356426,8.411565043817588e-05,0.1870240904518559,1.8284777082410944e-05,1.828479342771468e-05,0.4465223714113707,-0.446521573093215,3.4444828874655205e-06,0.0182847770824109,0.4465223714113707,0.0182847934277146,4.658887147543917e-05,,,,,,2300.3645303054536,2.7707200426247702
11A,556.0,6646.863456572498,-757.240691044359,0.06905414825897,-1.56947574348432,20.8934130189495,7.79193650476645,0.0617221596414559,3.24556624060494,0.4445972844476961,976.844294795492,0.001320583310582,0.001458743419161,0.000255226618722,0.1827653602934049,8.29907282589355e-05,0.185332115406749,1.20426240657396e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.9769999980926496,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,757.240691044359,0.1139245143204484,8.777742051084687,1.7139589983272266e-08,0.4445972844476961,976.844294795492,8.29907282589355e-05,0.185332115406749,1.8205962399943507e-05,1.8205978275007337e-05,0.4445976721234539,-0.444596896772196,3.398417958369178e-06,0.0182059623999435,0.4445976721234539,0.0182059782750073,4.748732545206915e-05,0.7528443334117758,530.3300858899106,-757.7225542568906,6646.863456572498,6568.92191811869,2300.290520472441,2.7789495438022604
11A,556.5,6646.863545401633,-765.1861669947426,0.0701094007072364,-1.5694894560308528,20.98231095203243,7.803358805372202,0.0617225870533264,3.1926232373311008,0.444096705419186,976.47325565243,0.0013068707640437,0.0014536094270374,0.0002514777391668,0.1817817602662984,8.24860588973289e-05,0.1843246758332703,1.1974056209761786e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.976999998092652,0.0,2.7939999103546143,2.7939999103546143,3.384000062942505,3.384000062942505,4.098999977111816,4.098999977111816,5.732906818389893,765.1861669947426,0.1151198850056288,8.686596585386653,1.7319429565433154e-08,0.444096705419186,976.47325565243,8.24860588973289e-05,0.1843246758332703,1.818546402244537e-05,1.8185479552031995e-05,0.4440970846582446,-0.4440963261803728,3.377752005588913e-06,0.0181854640224453,0.4440970846582446,0.0181854795520319,4.831546359963086e-05,,,,,,2299.416832245702,2.7746250848756304
11A,557.0,6646.863543066839,-770.067715366637,0.07178277991258,-1.56949774042653,21.3049847292262,7.73794407490345,0.061717073392723,3.18959929708041,0.448341284401789,976.671641502148,0.001298586368362,0.0014436464628039,0.000250746744009,0.182098186148048,8.34033933402114e-05,0.1846503283982269,1.21049139994206e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.9769999980926496,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,770.067715366637,0.1158542988549649,8.631531241252206,1.7429919856833742e-08,0.448341284401789,976.671641502148,8.34033933402114e-05,0.1846503283982269,1.835927670206364e-05,1.8359292181939177e-05,0.4483416624268819,-0.4483409063769351,3.415316234687653e-06,0.0183592767020636,0.4483416624268819,0.0183592921819391,4.9847585131976426e-05,0.7528443334117758,542.7596972779554,-772.2941418387538,6646.863543066839,6568.92191811869,2299.884019643428,2.7597165514277044
11A,557.5,6646.863545401633,-776.4511390729982,0.0720487298779849,-1.5695084164593032,21.493806302347256,7.773831316723349,0.0617151979016831,3.1856210443555724,0.4457772238973036,976.3669361380688,0.0012879103355936,0.0014397054572945,0.0002468664337355,0.1807095798944729,8.231799833912585e-05,0.1832350325029863,1.1950810114920545e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.976999998092652,0.0,2.7939999103546143,2.7939999103546143,3.384000062942505,3.384000062942505,4.098999977111816,4.098999977111816,5.732906818389893,776.4511390729982,0.1168146651077492,8.560568992579874,1.7574403974121412e-08,0.4457772238973036,976.3669361380688,8.231799833912585e-05,0.1832350325029863,1.825428013377864e-05,1.8254295273092125e-05,0.4457775936057275,-0.4457768541891093,3.370869948973636e-06,0.0182542801337786,0.4457775936057275,0.0182542952730921,5.025349039804439e-05,,,,,,2299.166525693319,2.7432527503077084
11A,557.91,6646.863545827195,-790.2018668330362,0.074607424029565,-1.56953082805572,21.6024016798568,7.758893212647281,0.061714791390321,3.1714912117502005,0.446957082402329,977.504051527087,0.001265498739175,0.001434567072914,0.000242985397397,0.1806304021374549,8.239680522604258e-05,0.183185193925976,1.1948276029435598e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.9769999980926496,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,790.2018668330362,0.1188834194330818,8.411601927070146,1.788564164337557e-08,0.446957082402329,977.504051527087,8.239680522604258e-05,0.183185193925976,1.830259455298709e-05,1.8302609208677965e-05,0.4469574403004847,-0.4469567245043851,3.374096944588333e-06,0.018302594552987,0.4469574403004847,0.0183026092086779,5.2169455117397865e-05,0.7528443334117758,553.1177067679927,-792.6176718871421,6646.863545827195,6568.92191811869,2301.8442914467983,2.7333885502093445
11A,558.0,6646.863545827195,-790.2018668330362,0.074607424029565,-1.56953082805572,21.6024016798568,7.758893212647281,0.061714791390321,3.1714912117502005,0.446957082402329,977.504051527087,0.001265498739175,0.001434567072914,0.000242985397397,0.1806304021374549,8.239680522604258e-05,0.183185193925976,1.1948276029435598e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.9769999980926496,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,790.2018668330362,0.1188834194330818,8.411601927070146,1.788564164337557e-08,0.446957082402329,977.504051527087,8.239680522604258e-05,0.183185193925976,1.830259455298709e-05,1.8302609208677965e-05,0.4469574403004847,-0.4469567245043851,3.374096944588333e-06,0.018302594552987,0.4469574403004847,0.0183026092086779,5.2169455117397865e-05,0.7528443334117758,553.1177067679927,-792.6176718871421,6646.863545827195,6568.92191811869,2301.8442914467983,2.7333885502093445
11A,558.5,6646.863545401633,-809.2677364950857,0.0775630681503101,-1.5695606424274968,21.46917633465941,7.778433976416039,0.0617100879691766,3.2225823717497013,0.4454855022341007,978.3798699342876,0.0012356843673997,0.0014314846495629,0.0002368998349983,0.1799417272076795,8.174063707406806e-05,0.1825083732029121,1.1843221830731955e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.976999998092652,0.0,2.7939999103546143,2.7939999103546143,3.384000062942505,3.384000062942505,4.098999977111816,4.098999977111816,5.732906818389893,809.2677364950857,0.1217518203837575,8.213429555698093,1.831718366897824e-08,0.4454855022341007,978.3798699342876,8.174063707406806e-05,0.1825083732029121,1.8242334326151584e-05,1.8242348253412323e-05,0.445485842343685,-0.4454851621247055,3.3472271498912887e-06,0.0182423343261515,0.445485842343685,0.0182423482534123,5.4068697594480565e-05,,,,,,2303.906770439025,2.744758434433961
11A,559.0,6646.863542925731,-817.8934426834828,0.079299565607903,-1.5695736742468798,21.9241963832946,7.757053750414982,0.061713763273569,3.2876836157908302,0.446451855967302,978.109040603815,0.001222652548021,0.0014254595212,0.000234365500039,0.179632067576119,8.17967931411374e-05,0.182187600412344,1.1854321634439313e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,1.9769999980926496,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,817.8934426834828,0.123049531166315,8.126808696640946,1.851242023725263e-08,0.446451855967302,978.109040603815,8.17967931411374e-05,0.182187600412344,1.828190586729036e-05,1.8281919531916915e-05,0.4464521896632488,-0.446451522271535,3.349526651502267e-06,0.0182819058672903,0.4464521896632488,0.0182819195319169,5.58619236755857e-05,0.7528443334117758,569.6905219520522,-819.5774566452081,6646.863542925731,6568.92191811869,2303.2690534842204,2.756813330321384
